product,category,hist_n,hist_cv,used_model,fallback_mode,residual_std,disable_stabilization,disable_clamping,noise_injection,direct_mode,features_count,time_steps
kursi kerja br 207 hba,Secretary Series,2,0.3333331111112593,True,,0.5,False,False,True,True,18.0,1.0
kursi kerja br 208 hba,Secretary Series,1,0.0,False,simple_random_walk,,,,,,,
kursi kerja cl 905 whar cpt,Classic Series,1,0.0,False,simple_random_walk,,,,,,,
kursi kerja cl 906 whar cpt,Classic Series,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
kursi kerja cl 906 whar cpt gl,Classic Series,1,0.0,False,simple_random_walk,,,,,,,
kursi kerja dp 301,Stacking Series,6,0.9071564423468741,True,,111.80703242640867,False,False,True,True,18.0,2.0
kursi kerja dp 301 tb,Stacking Series,9,0.8139829312001814,True,,392.6563225701593,False,False,True,True,18.0,2.0
kursi kerja dp 302 a,Stacking Series,4,0.1908412587011155,True,,1.479019945774904,False,False,True,True,18.0,2.0
kursi kerja dp 303,Stacking Series,2,0.009900989902950696,True,,0.5,False,False,True,True,18.0,1.0
kursi kerja dp 303 tb,Stacking Series,1,0.0,False,simple_random_walk,,,,,,,
kursi kerja dp 303a,Stacking Series,2,0.21739128544423605,True,,2.5,False,False,True,True,18.0,1.0
kursi kerja dp 304,Stacking Series,7,0.6371517887791768,True,,59.175473020017826,False,False,True,True,18.0,2.0
kursi kerja dp 305,Stacking Series,3,0.20203048726431852,False,simple_random_walk,,,,,,,
kursi kerja dp 308,Stacking Series,6,0.8286191439188635,True,,104.54411615304909,False,False,True,True,18.0,2.0
kursi kerja fs 503 har,Fashion Series,1,0.0,True,,0.0,False,False,True,True,18.0,1.0
kursi kerja fs 811 har mesh,Fashion Series,4,0.6216216048210378,False,simple_random_walk,,,,,,,
kursi kerja fs 904 har,Fashion Series,3,0.793572657794945,False,simple_random_walk,,,,,,,
kursi kerja fs 906 mhar synch,Fashion Series,1,0.0,False,simple_random_walk,,,,,,,
kursi kerja ll 502 h,Kursi Kerja,1,0.0,False,simple_random_walk,,,,,,,
kursi kerja ll 508 pc,Function Series,2,0.546391746944415,False,simple_random_walk,,,,,,,
kursi kerja mg 903 har,Director Series,3,0.8081216893039016,False,simple_random_walk,,,,,,,
kursi kerja mg 904 mhar,Director Series,1,0.0,False,simple_random_walk,,,,,,,
kursi kerja x 611 ccha,Executive Series,1,0.0,False,simple_random_walk,,,,,,,
kursi kerja x 616 ca,Executive Series,1,0.0,False,simple_random_walk,,,,,,,
kursi kerja x 803 mhar cpt,Executive Series,1,0.0,False,simple_random_walk,,,,,,,
kursi kerja x 816 mhar,Executive Series,2,0.1999999840000013,True,,2.5,False,False,True,True,18.0,1.0
kursi kerja x 901,Executive Series,1,0.0,False,simple_random_walk,,,,,,,
kursi kerja x 903 mhar cpt,Executive Series,6,1.1732517989542866,True,,8.652733190539662,False,False,True,True,18.0,2.0
kursi kerja x 916 mhar cpt,Executive Series,1,0.0,False,simple_random_walk,,,,,,,
kursi kerja x 917 mhar synch,Executive Series,1,0.0,False,simple_random_walk,,,,,,,
kursi lab ll 503 hchfr,Function Series,5,1.0614698776868505,True,,81.41474068005131,False,False,True,True,18.0,2.0
kursi lounge lc 513 wood,Kursi Lounge,2,0.926701560976947,True,,88.5,False,False,True,True,18.0,1.0
kursi lounge lc 515 wood,Kursi Lounge,5,0.6098210655550019,True,,1.2806248474865698,False,False,True,True,18.0,2.0
kursi lounge lc 518 mhar,Kursi Lounge,1,0.0,False,simple_random_walk,,,,,,,
kursi lounge ll 514 wood,Kursi Lounge,1,0.0,False,simple_random_walk,,,,,,,
kursi manajer fs 611 har mesh,Fashion Series,1,0.0,False,simple_random_walk,,,,,,,
kursi pimpinan x 902 mhar cpt,Executive Series,2,0.5999997600000959,True,,1.5,False,False,True,True,18.0,1.0
kursi pimpinan x 914 mhar cpt,Kursi Kerja,1,0.0,False,simple_random_walk,,,,,,,
kursi siswa ll 504 tc,Kursi Siswa,1,0.0,False,simple_random_walk,,,,,,,
