product_name,reason
partisi u,insufficient data (<6)
rak buku bs 02 a,insufficient data (<6)
rak display dc 02 b,insufficient data (<6)
sofa bench sb 202,insufficient data (<6)
sofa bench sb 203,insufficient data (<6)
sofa ll 529 elc,insufficient data (<6)
sofa sf 102 1 s,insufficient data (<6)
sofa sf 105 1 s,insufficient data (<6)
sofa sf 105 2 s,insufficient data (<6)
sofa sf 108 1 s,insufficient data (<6)
sofa sf 109 3 s,insufficient data (<6)
sofa sf 113 1 s,insufficient data (<6)
sofa sf 113 2 s,insufficient data (<6)
sofa sf 113 3 s,insufficient data (<6)
tempat sampah ts 01,insufficient data (<6)
