rank,product,category,Q1_score,Q2_score,Q3_score,Q4_score,total_score,appearances
1,kursi kerja dp 301 tb,Stacking Series,0,5,5,5,15,3
2,kursi kerja br 205 ha,Secretary Series,0,4,4,4,12,3
3,kursi kerja dp 308,Stacking Series,0,3,2,3,8,3
4,kursi auditorium ll 516 tb,Auditorium Series,0,0,3,2,5,2
5,kursi br 211 ca mesh,Secretary Series,0,1,1,1,3,3
6,kursi kerja dp 301,Stacking Series,0,2,0,0,2,1
