year,quarter,rank,product,category,quarterly_sum
2026,Q1,1,kursi auditorium ll 516 tb tg,Auditorium Series,3181.96
2026,Q1,2,kursi auditorium ll 526 tb,Auditorium Series,1598.97
2026,Q1,3,kursi auditorium ll 184,Auditorium Series,1442.27
2026,Q1,4,kursi kerja dp 301 tb,Stacking Series,1234.96
2026,Q1,5,kursi auditorium ll 516 tb,Auditorium Series,1017.65
2026,Q2,1,kursi auditorium ll 516 tb tg,Auditorium Series,3087.76
2026,Q2,2,kursi auditorium ll 526 tb,Auditorium Series,1551.64
2026,Q2,3,kursi auditorium ll 184,Auditorium Series,1399.58
2026,Q2,4,kursi kerja dp 301 tb,Stacking Series,1200.11
2026,Q2,5,kursi auditorium ll 516 tb,Auditorium Series,1030.52
2026,Q3,1,kursi auditorium ll 516 tb tg,Auditorium Series,2864.44
2026,Q3,2,kursi auditorium ll 526 tb,Auditorium Series,1439.41
2026,Q3,3,kursi auditorium ll 184,Auditorium Series,1298.35
2026,Q3,4,kursi kerja dp 301 tb,Stacking Series,1177.46
2026,Q3,5,kursi auditorium ll 516 tb,Auditorium Series,1008.01
2026,Q4,1,kursi auditorium ll 516 tb tg,Auditorium Series,2792.77
2026,Q4,2,kursi auditorium ll 526 tb,Auditorium Series,1403.4
2026,Q4,3,kursi auditorium ll 184,Auditorium Series,1265.87
2026,Q4,4,kursi kerja dp 301 tb,Stacking Series,1206.33
2026,Q4,5,kursi auditorium ll 516 tb,Auditorium Series,1012.77
