date,product_name,category,forecast,method,rank
2026-03-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,2
2026-03-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,3
2026-03-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,4
2026-03-01,kursi br 211 ca mesh,Secretary Series,81.0,SES,5
2026-04-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2026-04-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,2
2026-04-01,kursi auditorium ll 520,Auditorium Series,121.73413542563918,SES,3
2026-04-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,4
2026-04-01,kursi auditorium ll 516 tb,Auditorium Series,82.92785561473936,SES,5
2026-05-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2026-05-01,kursi auditorium ll 516 tb,Auditorium Series,165.90118761477646,SES,2
2026-05-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,3
2026-05-01,kursi auditorium ll 520 tb,Auditorium Series,137.8030642213872,SES,4
2026-05-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,5
2026-06-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2026-06-01,kursi auditorium ll 520 tb,Auditorium Series,168.45603503632094,SES,2
2026-06-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,3
2026-06-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,4
2026-06-01,kursi auditorium ll 516 tb,Auditorium Series,100.66652627318032,SES,5
2026-07-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2026-07-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,2
2026-07-01,kursi auditorium ll 516 tb,Auditorium Series,128.94082327303082,SES,3
2026-07-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,4
2026-07-01,kursi auditorium ll 520 tb,Auditorium Series,98.49196382865063,SES,5
2026-08-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2026-08-01,kursi auditorium ll 516 tb,Auditorium Series,165.54041594999916,SES,2
2026-08-01,kursi auditorium ll 520 tb,Auditorium Series,158.09441384930597,SES,3
2026-08-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,4
2026-08-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,5
2026-09-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2026-09-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,2
2026-09-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,3
2026-09-01,kursi kerja dp 301,Stacking Series,82.32871747510562,SES,4
2026-09-01,kursi br 211 ca mesh,Secretary Series,81.0,SES,5
2026-10-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2026-10-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,2
2026-10-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,3
2026-10-01,kursi auditorium ll 520 tb,Auditorium Series,98.72862065127278,SES,4
2026-10-01,kursi br 211 ca mesh,Secretary Series,81.0,SES,5
2026-11-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2026-11-01,kursi auditorium ll 520 tb,Auditorium Series,165.39099146242734,SES,2
2026-11-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,3
2026-11-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,4
2026-11-01,kursi auditorium ll 520,Auditorium Series,89.04463454346497,SES,5
2026-12-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2026-12-01,kursi auditorium ll 520 tb,Auditorium Series,176.43183287018937,SES,2
2026-12-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,3
2026-12-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,4
2026-12-01,kursi br 211 ca mesh,Secretary Series,81.0,SES,5
