year,quarter,rank,product_name,category,quarterly_sum
2026,Q1,1,kursi kerja dp 301 tb,Stacking Series,552.4708485328863
2026,Q1,2,kursi auditorium ll 520 tb,Auditorium Series,491.43450828376524
2026,Q1,3,kursi kerja br 205 ha,Secretary Series,465.0
2026,Q1,4,kursi kerja dp 308,Stacking Series,312.0031190405224
2026,Q1,5,kursi br 211 ca mesh,Secretary Series,243.0
2026,Q2,1,kursi kerja dp 301 tb,Stacking Series,552.4708485328863
2026,Q2,2,kursi kerja br 205 ha,Secretary Series,465.0
2026,Q2,3,kursi auditorium ll 520 tb,Auditorium Series,378.57507734961575
2026,Q2,4,kursi auditorium ll 516 tb,Auditorium Series,349.4955695026962
2026,Q2,5,kursi kerja dp 308,Stacking Series,312.0031190405224
2026,Q3,1,kursi kerja dp 301 tb,Stacking Series,552.4708485328863
2026,Q3,2,kursi kerja br 205 ha,Secretary Series,465.0
2026,Q3,3,kursi auditorium ll 516 tb,Auditorium Series,339.7870565354864
2026,Q3,4,kursi auditorium ll 520 tb,Auditorium Series,327.3906607889369
2026,Q3,5,kursi kerja dp 308,Stacking Series,312.0031190405224
2026,Q4,1,kursi kerja dp 301 tb,Stacking Series,552.4708485328863
2026,Q4,2,kursi kerja br 205 ha,Secretary Series,465.0
2026,Q4,3,kursi auditorium ll 520 tb,Auditorium Series,440.5514449838895
2026,Q4,4,kursi kerja dp 308,Stacking Series,312.0031190405224
2026,Q4,5,kursi br 211 ca mesh,Secretary Series,243.0
