product,category,total_score,total_forecast,rank,Q1_score,Q2_score,Q3_score,Q4_score,Q1_rank,Q2_rank,Q3_rank,Q4_rank
kursi auditorium ll 516 tb tg,Auditorium Series,15,8266.02,1,0,5,5,5,0,1,1,1
kursi auditorium ll 526 tb,Auditorium Series,12,4153.78,2,0,4,4,4,0,2,2,2
kursi auditorium ll 184,Auditorium Series,9,3746.71,3,0,3,3,3,0,3,3,3
kursi kerja dp 301 tb,Stacking Series,6,3415.04,4,0,2,2,2,0,4,4,4
kursi auditorium ll 516 tb,Auditorium Series,2,1987.01,5,0,0,1,1,0,0,5,5
kursi siswa ll 507 tc,Kursi Siswa,1,611.02,6,0,1,0,0,0,5,0,0
