product,category,total_score,total_forecast,rank,Q1_score,Q2_score,Q3_score,Q4_score,Q1_rank,Q2_rank,Q3_rank,Q4_rank
kursi auditorium ll 516 tb tg,Auditorium Series,20,11926.92,1,5,5,5,5,1,1,1,1
kursi auditorium ll 526 tb,Auditorium Series,16,5993.43,2,4,4,4,4,2,2,2,2
kursi auditorium ll 184,Auditorium Series,12,5406.07,3,3,3,3,3,3,3,3,3
kursi kerja dp 301 tb,Stacking Series,8,4818.86,4,2,2,2,2,4,4,4,4
kursi auditorium ll 516 tb,Auditorium Series,4,4068.96,5,1,1,1,1,5,5,5,5
