year,quarter,rank,product,category,quarterly_sum
2025,Q2,1,kursi auditorium ll 516 tb tg,Auditorium Series,2006.4961993358656
2025,Q2,2,kursi auditorium ll 526 tb,Auditorium Series,1008.2895474049576
2025,Q2,3,kursi auditorium ll 184,Auditorium Series,909.4771717592716
2025,Q2,4,kursi kerja dp 301 tb,Stacking Series,833.7861492424764
2025,Q2,5,kursi siswa ll 507 tc,Kursi Siswa,611.0234657274043
2025,Q3,1,kursi auditorium ll 516 tb tg,Auditorium Series,3095.2816791253326
2025,Q3,2,kursi auditorium ll 526 tb,Auditorium Series,1555.41792920871
2025,Q3,3,kursi auditorium ll 184,Auditorium Series,1402.9869721462562
2025,Q3,4,kursi kerja dp 301 tb,Stacking Series,1295.8616139308835
2025,Q3,5,kursi siswa ll 507 tc,Kursi Siswa,942.5832651004783
2025,Q4,1,kursi auditorium ll 516 tb tg,Auditorium Series,3164.2372830204495
2025,Q4,2,kursi auditorium ll 526 tb,Auditorium Series,1590.068986442437
2025,Q4,3,kursi auditorium ll 184,Auditorium Series,1434.2422257710782
2025,Q4,4,kursi kerja dp 301 tb,Stacking Series,1285.3968845182997
2025,Q4,5,kursi auditorium ll 516 tb,Auditorium Series,1059.1236979366727
